-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2024 through 05/15/2025 in LST
Location: latitude  -6.5945   longitude 106.7892 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 371.57 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (MJ/m^2/day) 
IMERG_PRECTOT         MERRA-2 Total Precipitation (mm/day) 
Message(s): 
The IMERG Source Data is not available at the Local Solar Time (LST) standard. 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_LW_DWN,IMERG_PRECTOT
2024,1,37.01,-999.0
2024,2,37.39,-999.0
2024,3,36.87,-999.0
2024,4,36.3,-999.0
2024,5,37.08,-999.0
2024,6,36.99,-999.0
2024,7,37.04,-999.0
2024,8,36.92,-999.0
2024,9,37.0,-999.0
2024,10,36.99,-999.0
2024,11,36.82,-999.0
2024,12,36.6,-999.0
2024,13,36.61,-999.0
2024,14,36.17,-999.0
2024,15,35.84,-999.0
2024,16,36.08,-999.0
2024,17,36.52,-999.0
2024,18,36.65,-999.0
2024,19,36.36,-999.0
2024,20,36.03,-999.0
2024,21,36.75,-999.0
2024,22,36.15,-999.0
2024,23,36.4,-999.0
2024,24,36.54,-999.0
2024,25,35.98,-999.0
2024,26,36.18,-999.0
2024,27,37.08,-999.0
2024,28,36.98,-999.0
2024,29,36.71,-999.0
2024,30,36.89,-999.0
2024,31,36.8,-999.0
2024,32,36.75,-999.0
2024,33,36.34,-999.0
2024,34,36.5,-999.0
2024,35,36.49,-999.0
2024,36,36.5,-999.0
2024,37,36.31,-999.0
2024,38,36.24,-999.0
2024,39,35.64,-999.0
2024,40,36.64,-999.0
2024,41,36.59,-999.0
2024,42,36.53,-999.0
2024,43,36.49,-999.0
2024,44,36.92,-999.0
2024,45,36.96,-999.0
2024,46,37.43,-999.0
2024,47,37.09,-999.0
2024,48,37.44,-999.0
2024,49,37.33,-999.0
2024,50,37.41,-999.0
2024,51,37.07,-999.0
2024,52,37.91,-999.0
2024,53,36.74,-999.0
2024,54,36.62,-999.0
2024,55,37.11,-999.0
2024,56,37.32,-999.0
2024,57,37.21,-999.0
2024,58,37.15,-999.0
2024,59,36.98,-999.0
2024,60,37.43,-999.0
2024,61,37.21,-999.0
2024,62,37.39,-999.0
2024,63,36.96,-999.0
2024,64,36.87,-999.0
2024,65,37.23,-999.0
2024,66,37.05,-999.0
2024,67,36.86,-999.0
2024,68,36.68,-999.0
2024,69,36.5,-999.0
2024,70,36.46,-999.0
2024,71,36.54,-999.0
2024,72,36.84,-999.0
2024,73,36.6,-999.0
2024,74,36.87,-999.0
2024,75,36.57,-999.0
2024,76,36.97,-999.0
2024,77,37.09,-999.0
2024,78,36.17,-999.0
2024,79,35.32,-999.0
2024,80,34.3,-999.0
2024,81,35.34,-999.0
2024,82,37.02,-999.0
2024,83,37.26,-999.0
2024,84,37.56,-999.0
2024,85,36.97,-999.0
2024,86,36.92,-999.0
2024,87,37.68,-999.0
2024,88,36.96,-999.0
2024,89,36.9,-999.0
2024,90,37.51,-999.0
2024,91,37.32,-999.0
2024,92,37.24,-999.0
2024,93,37.29,-999.0
2024,94,37.49,-999.0
2024,95,37.38,-999.0
2024,96,37.51,-999.0
2024,97,37.07,-999.0
2024,98,36.24,-999.0
2024,99,35.49,-999.0
2024,100,36.93,-999.0
2024,101,36.71,-999.0
2024,102,36.98,-999.0
2024,103,37.53,-999.0
2024,104,37.15,-999.0
2024,105,37.44,-999.0
2024,106,37.3,-999.0
2024,107,37.19,-999.0
2024,108,37.54,-999.0
2024,109,37.08,-999.0
2024,110,36.93,-999.0
2024,111,37.03,-999.0
2024,112,37.26,-999.0
2024,113,37.13,-999.0
2024,114,37.29,-999.0
2024,115,37.4,-999.0
2024,116,37.52,-999.0
2024,117,37.34,-999.0
2024,118,37.2,-999.0
2024,119,36.87,-999.0
2024,120,36.93,-999.0
2024,121,37.28,-999.0
2024,122,37.56,-999.0
2024,123,37.75,-999.0
2024,124,37.82,-999.0
2024,125,37.45,-999.0
2024,126,36.64,-999.0
2024,127,36.76,-999.0
2024,128,36.56,-999.0
2024,129,36.75,-999.0
2024,130,36.63,-999.0
2024,131,37.01,-999.0
2024,132,37.38,-999.0
2024,133,37.27,-999.0
2024,134,36.81,-999.0
2024,135,37.29,-999.0
2024,136,36.82,-999.0
2024,137,37.33,-999.0
2024,138,37.28,-999.0
2024,139,37.04,-999.0
2024,140,37.08,-999.0
2024,141,37.47,-999.0
2024,142,36.89,-999.0
2024,143,37.26,-999.0
2024,144,37.3,-999.0
2024,145,37.47,-999.0
2024,146,37.49,-999.0
2024,147,37.55,-999.0
2024,148,36.85,-999.0
2024,149,36.94,-999.0
2024,150,37.05,-999.0
2024,151,36.67,-999.0
2024,152,36.62,-999.0
2024,153,36.41,-999.0
2024,154,36.78,-999.0
2024,155,37.19,-999.0
